co_ref,total_cc_calls,last_cc_call,cutoff_date,days_since_last_cc_call,cc_calls_last_7,cc_calls_last_30,total_complaints,customer_issues,financial_issues,pricing_mentions,avg_cc_sentiment,repeat_call_ratio,high_call_volume
BX2589,3,2025-08-10,2025-10-28,79,0.0,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,0
BX3747,2,2025-10-02,2025-11-18,47,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BX3747,2,2025-10-02,2026-11-18,412,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BY0093,1,2025-11-09,2025-11-26,17,0.0,1.0,0.0,0.0,0.0,0.0,85.0,0.0,0
BY3785,3,2024-04-12,2026-08-19,859,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BY3785,3,2024-04-12,2025-08-19,494,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BY3785,3,2024-04-12,2024-08-19,129,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BY4157,1,2025-07-11,2026-03-22,254,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0
BY5796,2,2025-02-12,2025-02-23,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BY6069,2,2025-06-11,2025-08-28,78,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0
BZ0132,4,2025-12-02,2026-06-18,198,0.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,1
BZ8736,2,2024-12-12,2025-01-28,47,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
CA1226,1,2025-05-06,2025-06-26,51,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0
CA6995,2,2025-02-07,2025-09-25,230,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CA9343,1,2024-11-11,2025-02-20,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CB0535,1,2025-04-11,2025-09-26,168,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0
CC8266,1,2025-01-07,2025-06-26,170,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CC8802,4,2025-06-10,2025-08-22,73,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,1
CC8802,4,2025-06-10,2026-08-22,438,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,1
CD5557,2,2025-06-03,2025-07-23,50,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0
CE1621,1,2025-02-10,2025-05-28,107,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0
CF5724,2,2024-01-11,2025-01-24,379,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
CF5724,2,2024-01-11,2024-01-24,13,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
